GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
softw2muebase,de.hsb.softw2muebase,FilmController,0,80,0,8,0,16,0,9,0,5
softw2muebase,de.hsb.softw2muebase,Film,0,29,0,0,0,12,0,7,0,7
